Year,State,count
2016,MI,33.0
2016,MN,22.0
2016,MO,49.0
2016,MS,7.0
2016,MT,9.0
2016,NC,45.0
2016,ND,0.0
2016,NE,16.0
2016,NH,17.0
2016,NJ,25.0
2016,NM,7.0
2016,NV,15.0
2016,NY,136.0
2016,OH,49.0
2016,OK,4.0
2016,OR,83.0
2016,PA,45.0
2016,RI,4.0
2016,SC,10.0
2016,SD,0.0
2016,TN,38.0
2016,TX,93.0
2016,UT,5.0
2016,VA,77.0
2016,VT,33.0
2016,WA,76.0
2016,WI,20.0
2016,WV,4.0
2016,WY,6.0
2023,AK,0.0
2023,AL,8.0
2023,AR,16.0
2023,AZ,38.0
2023,CA,414.0
2023,CO,41.0
2023,CT,27.0
2023,DE,2.0
2023,FL,93.0
2023,GA,71.0
2023,HI,9.0
2023,IA,8.0
2023,ID,6.0
2023,IL,46.0
2023,IN,28.0
2023,KS,9.0
2023,KY,1.0
2023,LA,5.0
2023,MA,57.0
2023,MD,55.0
2023,ME,5.0
2023,MI,51.0
2023,MN,5.0
2023,MO,69.0
2023,MS,1.0
2023,MT,3.0
2023,NC,34.0
2023,ND,4.0
2023,NE,2.0
2023,NH,3.0
2023,NJ,46.0
2023,NM,41.0
2023,NV,24.0
2023,NY,138.0
2023,OH,41.0
2023,OK,10.0
2023,OR,54.0
2023,PA,40.0
2023,RI,18.0
2023,SC,23.0
2023,SD,7.0
2023,TN,32.0
2023,TX,98.0
2023,UT,8.0
2023,VA,81.0
2023,VT,5.0
2023,WA,64.0
2023,WI,25.0
2023,WV,8.0
2023,WY,8.0
2013,AK,0.0
2013,AL,0.0
2013,AR,7.0
2013,AZ,5.0
2013,CA,162.0
2013,CO,19.0
2013,CT,16.0
2013,DE,2.0
2013,FL,37.0
2013,GA,11.0
2013,HI,16.0
2013,IA,1.0
2013,ID,5.0
2013,IL,31.0
2013,IN,7.0
2013,KS,21.0
2013,KY,3.0
2013,LA,2.0
2013,MA,9.0
2013,MD,18.0
2013,ME,1.0
2013,MI,13.0
2013,MN,22.0
2013,MO,5.0
2013,MS,0.0
2013,MT,2.0
2013,NC,13.0
2013,ND,0.0
2013,NE,2.0
2013,NH,7.0
2013,NJ,8.0
2013,NM,0.0
2013,NV,4.0
2013,NY,11.0
2013,OH,16.0
2013,OK,0.0
2013,OR,13.0
2013,PA,15.0
2013,RI,9.0
2013,SC,2.0
2013,SD,3.0
2013,TN,5.0
2013,TX,12.0
2013,UT,0.0
2013,VA,24.0
2013,VT,6.0
2013,WA,17.0
2013,WI,5.0
2013,WV,2.0
2013,WY,2.0
2010,AK,0.0
2010,AL,0.0
2010,AR,0.0
2010,AZ,2.0
2010,CA,4.0
2010,CO,2.0
2010,CT,2.0
2010,DE,0.0
2010,FL,0.0
2010,GA,0.0
2010,HI,0.0
2010,IA,2.0
2010,ID,0.0
2010,IL,1.0
2010,IN,2.0
2010,KS,0.0
2010,KY,0.0
2010,LA,0.0
2010,MA,1.0
2010,MD,0.0
2010,ME,0.0
2010,MI,0.0
2010,MN,0.0
2010,MO,1.0
2010,MS,0.0
2010,MT,0.0
2010,NC,2.0
2010,ND,0.0
2010,NE,0.0
2010,NH,0.0
2010,NJ,1.0
2010,NM,0.0
2010,NV,0.0
2010,NY,3.0
2010,OH,1.0
2010,OK,2.0
2010,OR,5.0
2010,PA,0.0
2010,RI,0.0
2010,SC,4.0
2010,SD,0.0
2010,TN,1.0
2010,TX,2.0
2010,UT,1.0
2010,VA,0.0
2010,VT,0.0
2010,WA,7.0
2010,WI,3.0
2010,WV,1.0
2010,WY,0.0
1995,AK,0.0
1995,AL,0.0
1995,AR,0.0
1995,AZ,0.0
1995,CA,1.0
1995,CO,0.0
1995,CT,0.0
1995,DE,0.0
1995,FL,0.0
1995,GA,0.0
1995,HI,0.0
1995,IA,0.0
1995,ID,0.0
1995,IL,0.0
1995,IN,0.0
1995,KS,0.0
1995,KY,0.0
1995,LA,0.0
1995,MA,0.0
1995,MD,0.0
1995,ME,0.0
1995,MI,0.0
1995,MN,0.0
1995,MO,0.0
1995,MS,0.0
1995,MT,0.0
1995,NC,0.0
1995,ND,0.0
1995,NE,0.0
1995,NH,0.0
1995,NJ,0.0
1995,NM,0.0
1995,NV,0.0
1995,NY,0.0
1995,OH,0.0
1995,OK,0.0
1995,OR,0.0
1995,PA,0.0
1995,RI,0.0
1995,SC,0.0
1995,SD,0.0
1995,TN,0.0
1995,TX,0.0
1995,UT,0.0
1995,VA,0.0
