id,road_length,count
832625fffffffff,439922.93449556135,15
832990fffffffff,227501.58011230273,21
8326ecfffffffff,999383.5167827362,38
832baafffffffff,48835.42347897394,2
8328d4fffffffff,302310.50594025943,36
832618fffffffff,688550.8145631279,19
832818fffffffff,399253.61402092665,40
8348e9fffffffff,391079.91073623276,26
83274afffffffff,101793.55343805361,21
832806fffffffff,294680.6917334808,41
832680fffffffff,237120.5268882309,22
832671fffffffff,534147.0516897222,4
832673fffffffff,493774.7371747187,14
8326b5fffffffff,289322.09897465905,4
8344e9fffffffff,617880.9272660562,10
834453fffffffff,271115.58720223355,3
832695fffffffff,252338.24275867926,3
83288bfffffffff,561874.8287592181,15
8326cefffffffff,646225.9508511969,16
832a82fffffffff,849296.9854506524,40
832650fffffffff,466109.6095025668,34
832609fffffffff,835579.7982096458,18
83261bfffffffff,642657.1135851052,1
834892fffffffff,0.0,7
8326a5fffffffff,472976.7614668572,15
83139efffffffff,60298.359609976316,17
8344c8fffffffff,973931.6463384123,31
8328b2fffffffff,420930.9277276641,9
832886fffffffff,0.0,10
832885fffffffff,509454.49775810936,6
8328f2fffffffff,221427.1207872887,16
8328f1fffffffff,279594.8252809847,39
83446afffffffff,474744.31247601024,3
832a1afffffffff,18404.023896389135,14
83279efffffffff,410765.6619699556,11
83289bfffffffff,325447.7811943964,19
832811fffffffff,349827.9856035898,24
83464dfffffffff,0.0,1
832a98fffffffff,699397.1178681158,6
83288afffffffff,526969.6902394497,14
8329b2fffffffff,400206.10275946127,58
83281cfffffffff,362672.83589532104,20
832660fffffffff,1044058.1819362636,10
832b1efffffffff,669845.1470825765,4
83265efffffffff,459191.49790530425,12
832988fffffffff,319897.98694603005,16
8348eefffffffff,207968.72603417234,10
83485bfffffffff,484171.23476062703,14
832634fffffffff,319930.08826791274,6
8326b0fffffffff,251581.3173589398,3
8326eefffffffff,705220.8246168063,48
832a83fffffffff,618613.116131242,7
83279afffffffff,424364.26765817485,7
832982fffffffff,204748.9344476795,3
83266cfffffffff,864391.4744079766,38
83441bfffffffff,21078.260346856772,1
832620fffffffff,444719.26596549683,9
832896fffffffff,417947.72568810155,10
83276efffffffff,183662.3272915645,5
83276afffffffff,805317.9211201725,32
832b88fffffffff,379323.84711073403,22
830c73fffffffff,252800.4469006376,20
832636fffffffff,177941.63869233977,15
8326b4fffffffff,152820.09846229973,1
832694fffffffff,276344.1149960665,5
8328adfffffffff,137200.6851022648,9
8348c9fffffffff,289471.8663649292,12
832980fffffffff,136412.5411461362,3
832798fffffffff,215862.1083196461,1
83262dfffffffff,635289.5822964717,23
8328c6fffffffff,233063.45748410333,16
8348cafffffffff,274892.79699328134,3
8348d5fffffffff,132663.13628815184,1
83271efffffffff,165209.77629180945,1
8327adfffffffff,442697.80894800305,7
83269bfffffffff,398435.01517984975,11
8348c8fffffffff,327474.2314672271,7
8329b1fffffffff,368432.6600471492,17
832996fffffffff,217275.47319970588,3
8329b4fffffffff,289270.00787860755,2
8348eafffffffff,302664.2649256627,3
832984fffffffff,144231.76481816336,12
8329aafffffffff,328982.2730551307,4
83298cfffffffff,313844.0169035148,15
8329a2fffffffff,255012.90355735045,14
8326abfffffffff,644463.3047860399,7
83268bfffffffff,456150.96288039366,7
834416fffffffff,95138.09074019188,24
8328b1fffffffff,479929.7261167293,8
832645fffffffff,903321.6700212574,9
8326f4fffffffff,525904.470771551,2
8326f6fffffffff,449679.69908895175,3
8326f5fffffffff,471803.1941934705,4
8326e6fffffffff,411974.31190658256,3
832ab6fffffffff,349083.58364113973,17
832605fffffffff,679041.0322668288,11
832643fffffffff,561331.5228258008,13
83445efffffffff,544927.8542100755,6
83264bfffffffff,706654.5262146762,9
832893fffffffff,430269.68818141817,2
832890fffffffff,214388.72101045863,5
83261afffffffff,489402.54054846714,4
8326adfffffffff,448301.51451802417,5
8326a8fffffffff,886179.8106935447,7
8348dafffffffff,338441.7722062188,4
8348defffffffff,552465.3471420547,3
8348c0fffffffff,352653.035895909,6
8326d2fffffffff,278331.36997978005,3
8328a6fffffffff,109095.2134194655,5
83298bfffffffff,272230.79364172945,3
83298efffffffff,129452.08308419828,1
83299bfffffffff,402712.01546919753,7
8328a4fffffffff,226218.91545106377,5
8326c5fffffffff,895566.4832638315,16
8326c0fffffffff,591455.2915100415,6
832881fffffffff,159750.16742888774,2
832813fffffffff,268207.0299601115,10
83288cfffffffff,351208.9142060292,7
832aa2fffffffff,712721.2868946068,10
