State,Year,count
NV,2015.0,21
NV,2016.0,15
NV,2017.0,23
NV,2018.0,25
NV,2019.0,43
NV,2020.0,34
NV,2021.0,164
NV,2022.0,113
NV,2023.0,24
NY,2008.0,2
NY,2009.0,1
NY,2010.0,3
NY,2011.0,71
NY,2012.0,13
NY,2013.0,11
NY,2014.0,34
NY,2015.0,90
NY,2016.0,136
NY,2017.0,135
NY,2018.0,173
NY,2019.0,343
NY,2020.0,556
NY,2021.0,868
NY,2022.0,859
NY,2023.0,138
OH,2010.0,1
OH,2011.0,12
OH,2012.0,66
OH,2013.0,16
OH,2014.0,21
OH,2015.0,36
OH,2016.0,49
OH,2017.0,51
OH,2018.0,60
OH,2019.0,111
OH,2020.0,100
OH,2021.0,325
OH,2022.0,379
OH,2023.0,41
OK,2010.0,2
OK,2012.0,17
OK,2014.0,7
OK,2015.0,6
OK,2016.0,4
OK,2017.0,21
OK,2018.0,17
OK,2019.0,28
OK,2020.0,126
OK,2021.0,55
OK,2022.0,49
OK,2023.0,10
OR,2008.0,2
OR,2009.0,6
OR,2010.0,5
OR,2011.0,35
OR,2012.0,33
OR,2013.0,13
OR,2014.0,24
OR,2015.0,47
OR,2016.0,83
OR,2017.0,46
OR,2018.0,73
OR,2019.0,109
OR,2020.0,96
OR,2021.0,235
OR,2022.0,180
OR,2023.0,54
PA,2011.0,10
PA,2012.0,77
PA,2013.0,15
PA,2014.0,36
PA,2015.0,41
PA,2016.0,45
PA,2017.0,36
PA,2018.0,62
PA,2019.0,131
PA,2020.0,135
PA,2021.0,337
PA,2022.0,381
PA,2023.0,40
RI,2011.0,3
RI,2012.0,5
RI,2013.0,9
RI,2014.0,5
RI,2015.0,3
RI,2016.0,4
RI,2017.0,3
RI,2018.0,31
RI,2019.0,23
RI,2020.0,32
RI,2021.0,105
RI,2022.0,71
RI,2023.0,18
SC,2010.0,4
SC,2011.0,31
SC,2012.0,62
SC,2013.0,2
SC,2014.0,9
SC,2015.0,23
SC,2016.0,10
SC,2017.0,27
SC,2018.0,26
SC,2019.0,29
SC,2020.0,38
SC,2021.0,77
SC,2022.0,86
SC,2023.0,23
SD,2012.0,7
SD,2013.0,3
SD,2014.0,1
SD,2015.0,11
SD,2017.0,3
SD,2018.0,8
SD,2019.0,8
SD,2020.0,2
SD,2021.0,13
SD,2022.0,16
SD,2023.0,7
TN,2010.0,1
TN,2011.0,56
TN,2012.0,14
TN,2013.0,5
TN,2014.0,23
TN,2015.0,20
TN,2016.0,38
TN,2017.0,33
TN,2018.0,39
TN,2019.0,51
TN,2020.0,66
TN,2021.0,222
TN,2022.0,122
TN,2023.0,32
TX,2009.0,1
TX,2010.0,2
TX,2011.0,99
TX,2012.0,22
TX,2013.0,12
TX,2014.0,33
TX,2015.0,98
TX,2016.0,93
TX,2017.0,100
TX,2018.0,189
TX,2019.0,181
TX,2020.0,305
TX,2021.0,676
TX,2022.0,634
TX,2023.0,98
UT,2010.0,1
UT,2011.0,11
UT,2012.0,17
UT,2014.0,14
UT,2015.0,27
UT,2016.0,5
UT,2017.0,17
UT,2018.0,63
UT,2019.0,63
UT,2020.0,116
UT,2021.0,315
UT,2022.0,103
UT,2023.0,8
VA,2011.0,36
VA,2012.0,47
VA,2013.0,24
VA,2014.0,41
VA,2015.0,51
VA,2016.0,77
VA,2017.0,67
VA,2018.0,95
VA,2019.0,91
VA,2020.0,122
VA,2021.0,304
VA,2022.0,215
VA,2023.0,81
VT,2004.0,1
VT,2011.0,2
VT,2012.0,5
VT,2013.0,6
VT,2014.0,20
VT,2015.0,22
VT,2016.0,33
VT,2017.0,19
VT,2018.0,44
VT,2019.0,33
VT,2020.0,28
VT,2021.0,75
VT,2022.0,63
VT,2023.0,5
WA,2008.0,1
WA,2009.0,2
WA,2010.0,7
WA,2011.0,62
WA,2012.0,46
WA,2013.0,17
WA,2014.0,47
WA,2015.0,64
WA,2016.0,76
WA,2017.0,89
WA,2018.0,112
WA,2019.0,171
WA,2020.0,188
WA,2021.0,536
WA,2022.0,312
WA,2023.0,64
WI,2009.0,1
WI,2010.0,3
WI,2011.0,8
WI,2012.0,33
WI,2013.0,5
WI,2014.0,36
WI,2015.0,15
WI,2016.0,20
WI,2017.0,17
WI,2018.0,22
WI,2019.0,41
WI,2020.0,33
WI,2021.0,96
WI,2022.0,130
WI,2023.0,25
WV,2010.0,1
WV,2011.0,2
WV,2012.0,13
WV,2013.0,2
WV,2014.0,6
WV,2015.0,5
WV,2016.0,4
WV,2017.0,39
WV,2018.0,5
WV,2019.0,2
WV,2020.0,6
WV,2021.0,23
WV,2022.0,26
WV,2023.0,8
WY,2013.0,2
WY,2014.0,8
WY,2015.0,10
WY,2016.0,6
WY,2017.0,14
WY,2018.0,10
WY,2019.0,8
WY,2020.0,2
WY,2021.0,10
WY,2022.0,15
WY,2023.0,8
